"type","Country","Region","Location","Name","Latitude","Longitude","year_deployment","year_modification","min_depth_m","depth_m","reef_edge_m","Min_dist_filt_km","min_dist_km","surrounding_seabed","meadows","typo_filt","reef_typology","structure_wreck","Material_simply","Material","Arrangement_modules","origin_reef","total_area_sqm","total_volume_cubm","n_oases","dist_between_oases_m","dimens_oases_sqm","type_structures","n_structures","dim_structures_m","dist_between_structures_m","modules_shape","n_modules","dist_between_modules_m","dimension_leng_width_heigh_m","weight_or_displacement_tons","experimental_professional","scope","exploitation","possible_exploitation","observations","biocenosis","alien_species","Alien species (form)","protected_species","Protected species (form)","protect_area_y_n","Protected area","managment_prog_Y_N","Management_program","Concession_area_Y_N","Surveillance_service_Y_N","Surveillance_service","Monitoring_program_Y_N","Monitoring_program","Available data","Available literature (Scientific or Grey)"
"Artificial reef","Italy","Emilia Romagna","Miramare di Rimini","Miramare di Rimini",44.050649,12.693221,1988,"No data",8,"8 - 13","No data",5,5,"Sand, Mud","No","Specifically designed modules","Specifically designed modules","No data","Concrete","Concrete","Geometrically assembled","No data",70000,13000,4,200,5400,"pyramids formed by 5 cubes(4 on basis, 1 on top)","pyramids (116)","pyramids (h 4)",15,"cubes, cages","cages (48)","No data","cubes (2/2/2), cages (6/4/5)","No data","Professional","Finfish enhancement, Mariculture","Diving/Snorkeling","Diving/Snorkeling","No data","No data","No data","No data","No data","No data","No data","No data","no","no","yes","no","no","no","no","Benthic community, Fish community","Bombace G. 1989. Le ricerche nella fascia costiera base allo sviluppo della piccola pesca. Nova Thalassia 10 (1): 57-80 <br>
Bombace G., Fabi G., Fiorentini L. 1989. Preliminary analysis of catch data from artificial reefs in Central Adriatic. General Fisheries Council for the Mediterranean. FAO, 428: 86-98 <br>
Bombace G., Fabi G., Fiorentini L. 1993. Aspects theoriques et resultats concernants les recifs artificiels realises en Adriatique. Bollettino di Oceanologia Teorica ed Applicata 11 (3-4): 145-154 <br>
Fabi G., Fiorentini L. 1993. Catch and growth of Umbrina cirrosa (L.) around artificial reefs in the Adriatic Sea. Bollettino di Oceanologia Teorica e Applicata, 11 (3-4): 235-242 <br>
Bombace G., Fabi G., Fiorentini L., Speranza S. 1994. Analysis of the efficacy of artificial reefs located in five different areas of the Adriatic Sea. Bulletin of Marine Science 55 (2-3). 559-580 p. <br>
Abstract: Five artificial reefs of identical design, but of different size, were constructed along the Italian Adriatic coast between 1987 and 1988, at depths ranging from 10 to 14 m. Four reefs were deployed on sandy-muddy bottom far from natural reefs, while the fifth was placed in a bay surrounded by rocky shores. The reefs were formed of cubic concrete blocks (2 X 2 X 2 m) arranged in pyramids. Concrete cages (4 X 6 X 5 m) for shellfish culture were placed among the pyramids. Underwater observations and sampling showed rapid colonization of the concrete block reefs at all locations. The sessile community was dominated by filterfeeders, mainly represented by mussels (Mytilus galloprovincialis) and oysters (Ostrea edulis and Crassostrea gigas). At all sites, fishing surveys conducted with a standard trammel net were started 1 year before reef deployment and have been continued. The aim was to compare the effectiveness of the reefs in the different areas in terms of fishing yield and their impact on the fish assemblage of the original habitat. The effects of the artificial reefs were particularly evident at sites far from natural hard substrates. Catches at these sites after reef deployment showed a gradual increase in fish abundance, in species richness (both mean and total) and diversity. Evidence for this was the appearance and/or the increase in catches of some hard-substrate species of fish (e.g., Sciaena umbra, Umbrina cirrosa and Scorpaena porcus) and molluscs (Eledone moschata and Rapana venosa) which were rare or completely absent in the original sand-plain habitat. The increase of these species seemed to be directly correlated to the reef dimensions in terms of volume of immersed materials and of area covered. Different results were obtained at the site near natural hard substrates, where many reef-dwelling species were also caught before the reef construction, and total richness was already very high (49 species caught) in comparison to the other four sites (22-31 species). <br>
Fabi G., Fiorentini L. 1997. Molluscan aquaculture on reefs. Pages 123-140 In: Jensen A.C. (Ed.) ""European Artificial Reef research"". Proceedings of the 1st EARNN Conference, Ancona, Italy, March 1996. <br>
Bombace G., Fabi G., Fiorentini L. 2000. Artificial Reefs in the Adriatic Sea. A.C. Jensen et al. (eds.), Artificial Reefs in European Seas, Kluwer Academic Publishers in Great Britain. 31-63 p. <br>
Fabi G., Spagnolo A. 2001. Le barriere artificiali. Pagg. 454-466 in Cataudella S., Bronzi P. (eds.), Acquacoltura Responsabile. Unimar-Uniprom, Roma <br>
Information about plant and animal species: <a href='https://www.biologiamarina.org/' target='_blank'>https://www.biologiamarina.org/</a> "
"Artificial reef","Italy","Emilia Romagna","Ravenna","Paguro wreck",44.3844,12.5825,1965,"1990-1991 and 1999-2000",10,"10 - 34","No data",20,20,"Mud","No","Decommissioned structures","Decommissioned structures","No data","Steel/Iron","Steel/Iron","No data","No data",31400,"No data","No data","No data","No data","offshore extraction platform, whole jackup drilling rig and additional iron structures deriving from off-shore activities","No data","No data","No data","No data","No data","No data","No data","No data","Experimental, Professional","Diving/Snorkeling, Habitat protection, Research","Diving/Snorkeling","Diving/Snorkeling, Research","No data","No data","No data","No data","No data","No data","No data","No data","yes","The managing body is the Emilia-Romagna region, together with the association ""Paguro"", the Coast Guard of Ravenna, the Marine Research Centre in Cesenatico and ARPAE Emilia-Romagna. Foreseen management measures include: regulation and promotion of human activities, monitoring of physicochemical and biological parameters, training and dissemination activities, removal of derelict fishing gear.
","yes","no","no","yes","Within the MSFD activities, an annual sampling for contaminants in sediments and biota plus granulometric analysis (period 2018-2020) is carried out by ARPAE Emilia-Romagna.","Benthic community, Fish community, Planktonic communities, Sediments, Water column","Bisca A., Ricci V.G., Pepoli R., Rambelli F., Vistoli G.P. 1994. Paguro. Immagini da un relitto. Edizioni Calderini, Bologna. 152 pp. <br>
Ponti M., Capra A., Gabbianelli G., Ceccherelli V.U. 1998. Environmental characterization and macrobenthic communities on the Northern Adriatic ""Paguro"" wreck. Rapp. Comm. int. Mer Médit., 35, 1998, 478.  <br>
Abstract: The ""Paguro""' drilling platform wreck has today come to constitute an artificial reef of particular interest. The aim of this study has been to characterise this habitat and to investigate the distribution of macrobenthic communities in relation to the main chemical and physical parameters of the water. For this purpose, a graphic three-dimensional reconstruction of the wreck has been made, direct samples of macrobenthos have been taken, and, finally, photographic transects have been performed. The data thus obtained have been subjected to statistical analysis. <br>
Key words: Artificial Reefs, Zoobenthos, Biodiversity, GIS, Adriatic Sea <br>
Pacchioli D., Ponti M. 2002. Censimenti subacquei. I progetti in Adriatico settentrionale. Deep, Anno V, maggio-giugno 2002, n.21, 5-7 <br>
Ponti M., Abbiati M., Seccherelli V.U. 2002. Drilling platforms as artificial reefs: distribution of macrobenthic assemblages of the ""Paguro"" wreck (northern Adriatic Sea). ICES Journal of Marine Science 59. S316-S323.  <br>
Abstract: Offshore drilling raises the issue of disposal of platforms at the end of their productive cycle and re-use as artificial reefs has been proposed. The wreck of the ""Paguro"" drilling platform, which sank in the northern Adriatic Sea in 1965, offers the opportunity to study the performance of offshore structures as artificial reefs in a region where this solution has not been explored before. We provide a description of the macrobenthic assemblages present at the wreck at different sites and at different depths, based on destructive and photographic sampling. Results show that the wreck has been colonized by a rich and diversified fauna. Primary space has been dominated by mussels and oysters, which provide suitable habitats for a variety of benthic invertebrates. Assemblages vary among sites, species richness is greatest at those sites facing prevailing currents. Distribution patterns vary vertically, evenness (Hill's N10) decreasing significantly with depth. It is argued that the results contribute to the background knowledge required in rigs-to-reefs programmes. <br>
Key words: artificial reef, benthic fauna, decommissioning, northern Adriatic Sea, offshore platform <br>
Rinaldi A., Rambelli F. 2004. Sul relitto della piattaforma ""Paguro"". Guida al riconoscimento della fauna marina. Editrice La Mandragora, Imola. 222 pp. <br>
SIC-ZPS IT4070026. Relitto della piattaforma Paguro. Piano di Gestione. 2018. 66pp. <a href='https://ambiente.regione.emilia-romagna.it/it/parchi-natura2000/rete-natura-2000/siti/it4070026' target='_blank'>https://ambiente.regione.emilia-romagna.it/it/parchi-natura2000/rete-natura-2000/siti/it4070026</a>
"
"Artificial reef","Italy","Marche","Porto Recanati","Porto Recanati",43.444,13.722,1975,"No data",12,"12-15 ","No data",4.63,4.63,"Sand, Mud","No","Specifically designed modules, Decommissioned structures","Specifically designed modules, Decommissioned structures","No data","Concrete & Other","Concrete, Rocks, Wood","Geometrically assembled","No data",20000000,3.624,1,"No data",30000,"pyramids formed by 14 cubes(9 on basis, 4 in the middle, 1 on top), sunk vessels, piles of rocks","pyramids (12), sunk vessels (2)","pyramid (h 6.5)",50,"cubes","cubes (258)","No data","cubes (2/2/2)","No data","Experimental","Finfish enhancement, Habitat protection","Diving/Snorkeling, Professional fishery","Diving/Snorkeling, Fishing Tourism, Mariculture, Professional fishery, Recreational fishery, Research","No data","No data","No data","No data","No data","No data","No data","No data","no","no","no","no","no","no","no","Fish community, Geophysical map, PAH in mussels","Bombace G. 1973. Progetto per la realizzazione di barriere artificiali nel mare di Ancona. Gazzettino della Pesca, 20 (1) <br>
Bombace G. 1977. Aspetti teorici e sperimentali concernenti le barriere artificiali. Atti del IX Congresso della Società Italiana di Biologia Marina: 29-41  <br>
Bombace G. 1978. Le scogliere del Conero. Il Subacqueo, 66-68 <br>
Bombace G. 1979. Esperienze di creazione di barriere artificiali in Medio Adriatico (S.E. Conero-Ancona). Atti del Convegno Nazionale P.F. Oceanografia e Fondi Marini,  Roma 5-7 marzo 1979: 185-198 <br>
Bombace G. 1979. Nota sull'esperimento di barriere artificiali a fini multipli realizzato dal laboratorio di tecnologia della pesca del C.N.R. - Ancona. Gazzettino della Pesca: 1-8 <br>
Dalla Venezia L. 1979. Prime osservazioni sugli insediamenti di Mytilus sp. sulle barriere artificiali del Conero (AN). Atti Convegno Scientifico Nazionale Progetto finalizzato Oceanografia, Roma, 5-7 Marzo 1979, Vol. 2 <br>
Bombace G. 1980. Paper on experiments on artificial reefs in Italy. Simposium on management of living resources in the Mediterranena coastal area, CGPM, Palma de Majorca, 18-20 September 1980.GFCM/XV/80/21: 1-112 <br>
Bombace G. 1981. Note on experiments in artificial reefs in Italy. Symposium on management of living resources in the Mediterranean coastal area. FAO-GFCM Studies and Reviews, 58: 309-327 <br>
Dalla Venezia L. 1981. Studio comparativo di popolazioni di Mytilus galloprovincialis su substrati artificiali. Quaderni del Laboratorio di Tecnologia della Pesca, 3(1): 631-633 <br>
Bombace G. 1982. Il punto sulle barriere artificiali: problemi e prospettive. Naturalista siciliano, S. IV, VI (Suppl.). 3: 573-591 <br>
Bombace G., Rossi V. 1986. Effets socio-economique consecutifs a la realisation d'une zone marine protegee par des recifs artificiels dans las zone de Porto Recanati. Annex (E). Roma, General Fisheries Council for the Mediterranean. FAO, 357 <br>
Bombace G. 1987. Iniziative di protezione e valorizzazione della fascia costiera mediante barriere artificiali a fini multipli. Atti della LIX Riunione della SIPS: 201-233 <br>
Bombace G. 1994. Artificial reefs in the Mediterranean sea. Bulletin of Marine Science, 44(2): 1023-1032 <br>
Bombace G. 1995. La barriere artificiali nella gestione razionale della fascia costiera italiana. Biologia Marina Mediterranea,  2(1): 1-14 <br>
Fabi G., Fiorentini L. 1997. Molluscan aquaculture on reefs. Pages 123-140 In: Jensen A.C. (Ed.) ""European Artificial Reef research"". Proceedings of the 1st EARNN Conference, Ancona, Italy, March 1996. <br>
Bombace, G., Fabi G., Fiorentini L. 2000. Artificial reefs in the Adriatic Sea. Pages 31-63 In: Jensen A.C., Collins K.J., Lockwood A.P.M. (Eds) ""Artificial reefs in European Seas"". Dordrecht, Kluwer Academic Publishers <br>
Bombace G. 2016. Barriere artificiali e mitilicoltura in mare aperto. Bollettino della Società Italiana di Biologia Marina, 69: 63-71


"
"Artificial reef","Italy","Marche","Porto Recanati - Porto Potenza Picena","Porto Recanati - Porto Potenza Picena",43.41,13.74,2001,"No data",12.5,12.5,"No data",5.6,5.6,"Sand","No","Specifically designed modules","Specifically designed modules","No data","Concrete","Concrete","Geometrically assembled","No data",5450000,"No data",1,"No data",5450000,"pyramids","pyramids (252)","pyramids (h 4)",80,"cubes, poles","poles (506)","No data","cubes (2/2/2), pole (h4)","No data","Professional","Finfish enhancement, Habitat restoration, Professional fishery, Recreational fishery, Research","Diving/Snorkeling, Professional fishery, Recreational fishery","Diving/Snorkeling, Fishing Tourism, Mariculture, Professional fishery, Recreational fishery, Research","No data","No data","No data","No data","No data","No data","No data","No data","no","no","no","no","no","no","no","Benthic community, Fish community, Geophysical map, PAH in mussels, Sediments","Fabi G., Manoukian S., Pupilli A., Scarcella G., Spagnolo A. 2006. Monitoraggio volto alla valutazione degli effetti indotti dalla realizzazione della barriera artificiale a fini multipli P.to Recanati - P.to Potenza Picena. VI Anno di indagine (2005) - IV anno dalla posa in opera della barriera artificiale. Rapporto per Regione Marche - Servizio Attività ittiche, Commercio e Tutela del Consumatore, Caccia e Pesca Sportiva. 104 pp <br>
La Mesa M., Scarcella G., Grati F., Fabi G.  2010. Age and growth of the black scorpionfish, Scorpena porcus (Pisces, Scorpaenidae) from artificial structures and natural reefs in the Adriatic Sea. Sciencia Marina, 74(4): 677-685 <br>
Scarcella G. 2011. Età e accrescimento di Scorpaena porcus Linneo, 1758 e Scorpaena notata Rafinesque, 1810 in Adriatico settentrionale. Università Politecnica delle Marche. PhD thesis <br>
Scarcella G., Grati F., Polidori P., Domenichetti F., Bolognini L., Fabi G. 2011. Comparison of growth rates estimated by otolith reading of Scorpaena porcus and Scorpaena notata caught on artificial and natural reefs of the Northern Adriatic Sea. Brazilian Journal of Oceanography, 59(special issue CARAH): 33-42  <br>
Santelli A., Punzo E., Scarcella G., Strafella P., Spagnolo A., Fabi G.  2012. Decapods' community associated with an artificial reef (Adriatic Sea). 10th Colloquium Crustacea Decapoda Mediterranea. Athens (Greece) 03-07 June 2012. CD-ROM <br>
Brunetti B., Spagnolo A., Punzo E., Fabi G.  2013. Effects of an artificial reef on the soft-bottom community (Western Adriatic Sea). Rapport de la Commission internationale pour l'exploration scientifique de la Méditerranée, 40: 661 <br>
Santelli A., Punzo E., Scarcella G., Strafella P., Spagnolo A., Fabi G. 2013. Decapod Crustaceans associated with an artificial reef (Adriatic Sea). Mediterranean Marine Science, 14 (3): 64-75"
"Artificial reef","Italy","Apulia","Lesina","ITTIMAR S.C.AR.L.",41.93827,15.41614,2016,"No data",16,16,"No data",4,4,"Sand","No","Specifically designed modules","Specifically designed modules","No data","Concrete","Concrete","Geometrically assembled","No data",400,"No data",1,"No data",200,"pyramids","pyramids (6 )","pyramids (h 2.4 )",10,"cubes ","cubes (87)",0.3,"cubes (0.92/0.92/0.80)","No data","Experimental","Diving/Snorkeling, Finfish enhancement, Fishing Tourism, Habitat restoration,Recreational fishery","Mariculture","Diving/Snorkeling, Fishing Tourism, Recreational fishery, Research","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","yes","yes","yes","yes","water and bottom quality with chemical anallisis, visual census, phisical data with CTD. Stagional Sampling","Benthic community, Fish community, Sediments, Water column","WWW.ECOSEA.EU"
"Artificial reef","Italy","Emilia Romagna","Cattolica","Cooperativa Associazione Produttori Pesca",43.999314,12.735515,1988,"No data",11,11,"No data",3,3,"Sand, Mud","No","Specifically designed modules","Specifically designed modules","No data","Concrete","Concrete","Geometrically assembled","No data",70000,13000,4,200,5400,"pyramids formed by 5 cubes(4 on basis, 1 on top)","pyramids (29 in each oasis)","pyramids (h 5)",15,"cubes, cages","cages (12 in each oasis)","No data","cubes (2/2/2), cages (6/4/5)","No data","Professional","Finfish enhancement, Mariculture","Mariculture (Shellfish farmers associations)","Mariculture","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","yes","no","no","No data","No data","Benthic community, Fish community","Bombace G., Fabi G., Fiorentini L. 1989. Preliminary analysis of catch data from artificial reefs in Central Adriatic. General Fisheries Council for the Mediterranean. FAO, 428: 86-98 <br>
Bombace G., Fabi G., Fiorentini L. 1993. Aspects theoriques et resultats concernants les recifs artificiels realises en Adriatique. Bollettino di Oceanologia Teorica ed Applicata 11 (3-4): 145-154 <br>
Fabi G., Fiorentini L. 1993. Catch and growth of Umbrina cirrosa (L.) around artificial reefs in the Adriatic Sea. Bollettino di Oceanologia Teorica e Applicata, 11 (3-4): 235-242 <br>
Bombace G., Fabi G., Fiorentini L., Speranza S. 1994. Analysis of the efficacy of artificial reefs located in five different areas of the Adriatic Sea. Bulletin of Marine Science 55 (2-3), 559-580 <br>
 Abstract: Five artificial reefs of identical design, but of different size, were constructed along the Italian Adriatic coast between 1987 and 1988, at depths ranging from 10 to 14 m. Four reefs were deployed on sandy-muddy bottom far from natural reefs, while the fifth was placed in a bay surrounded by rocky shores. The reefs were formed of cubic concrete blocks (2 X 2 X 2 m) arranged in pyramids. Concrete cages (4 X 6 X 5 m) for shellfish culture were placed among the pyramids. Underwater observations and sampling showed rapid colonization of the concrete block reefs at all locations. The sessile community was dominated by filterfeeders, mainly represented by mussels (Mytilus galloprovincialis) and oysters (Ostrea edulis and Crassostrea gigas). At all sites, fishing surveys conducted with a standard trammel net were started 1 year before reef deployment and have been continued. The aim was to compare the effectiveness of the reefs in the different areas in terms of fishing yield and their impact on the fish assemblage of the original habitat. The effects of the artificial reefs were particularly evident at sites far from natural hard substrates. Catches at these sites after reef deployment showed a gradual increase in fish abundance, in species richness (both mean and total) and diversity. Evidence for this was the appearance and/or the increase in catches of some hard-substrate species of fish (e.g., Sciaena umbra, Umbrina cirrosa and Scorpaena porcus) and molluscs (Eledone moschata and Rapana venosa) which were rare or completely absent in the original sand-plain habitat. The increase of these species seemed to be directly correlated to the reef dimensions in terms of volume of immersed materials and of area covered. Different results were obtained at the site near natural hard substrates, where many reef-dwelling species were also caught before the reef construction, and total richness was already very high (49 species caught) in comparison to the other four sites (22-31 species). <br>
Maffei M.,Giulini G., Fabi G., Fiorentini L. 1996. Valutazioni comparative su alcuni parametri di qualità in popolazioni di mitili (Mytilus galloprovincialis Lamk.) provenienti da differenti condizioni di allevamento e da banco naturale. Biologia Marina Mediterranea, 3 (1): 242-245 <br>
Tumbiolo M.L., Patti B. 1996. Stima della biomassa bentonica in due barriere artificiali situate nel Mar Adriatico.Biologia Marina Mediterranea, 3: 516-519 <br>
Fabi G., Fiorentini L. 1997. Molluscan aquaculture on reefs. Pages 123-140 In: Jensen A.C. (Ed.) ""European Artificial Reef research"". Proceedings of the 1st EARNN Conference, Ancona, Italy, March 1996. <br>
 Bombace G., Fabi G., Fiorentini L. 2000. Artificial Reefs in the Adriatic Sea A.C. Jensen et al. (eds.), Artificial Reefs in European Seas, Kluwer Academic Publishers in Great Britain, 31-63 <br>
Fabi G., Spagnolo A. 2001. Le barriere artificiali. Pagg. 454-466 in Cataudella S., Bronzi P. (eds.), Acquacoltura Responsabile. Unimar-Uniprom, Roma
"
"Artificial reef","Italy","Apulia","Ischitella","Ischitella",41.954,15.906,"80s","No data","No data","No data","No data","No data","No data","No data","No data","Specifically designed modules","Specifically designed modules","No data","Concrete","Concrete","Geometrically assembled","No data","No data","No data","No data","No data","No data","pyramids formed by 5 cubes(4 on basis, 1 on top)","No data","No data","No data","cubes ","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Artificial reef","Italy","Apulia","Manfredonia - Zapponeta ","Manfredonia - Zapponeta ",41.550161,15.969719,2008,"No data",8,"8-11 ","No data",6,6,"Sand","No","Specifically designed modules","Specifically designed modules","No data","Concrete","Concrete","Geometrically assembled","No data",36000000,"No data",1,"No data",1000000,"tripods","No data","No data","No data","tripods, little concrete bricks","No data","No data","No data","No data","Experimental","Habitat restoration","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","no","no","no","no","no","No data","No data"
"Artificial reef","Italy","Apulia","Polignano a mare","Polignano a mare",40.999483,17.220501,2005,"No data",14,"14-18 ","No data",0.1,"0.1 - 0.3","Coralligenous concretions","Yes, phanerogams","Specifically designed modules","Specifically designed modules","No data","Concrete","Concrete","Geometrically assembled","No data",10000000,"No data",1,"No data",400000,"No data","No data","No data","No data","cubes ","No data","No data","No data","No data","Experimental","Habitat restoration","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","no","no","no","no","no","no","no","No data","No data"
"Artificial reef","Italy","Apulia","Rodi Garganico - Peschici","Rodi Garganico - Peschici",41.969497,15.933217,2008,"No data",11,"11-20 ","No data",4,4,"Sand","No","Specifically designed modules","Specifically designed modules","No data","Concrete","Concrete","Geometrically assembled","No data",36000000,"No data",1,"No data",1000000,"No data","No data","No data","No data","tripods, little concrete bricks","No data","No data","No data","No data","Experimental","Polifunctional","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","no","no","no","No data","No data","No data","No data"
